tanggal,komoditas,harga
2026-01-04 18:44:55.212117,Cabai Rawit,38874.0
2026-01-05 18:44:55.212115,Cabai Rawit,40680.71186440678
2026-01-06 18:44:55.212114,Cabai Rawit,41502.42372881356
2026-01-07 18:44:55.212112,Cabai Rawit,39884.13559322034
2026-01-08 18:44:55.212111,Cabai Rawit,41299.84745762712
2026-01-09 18:44:55.212109,Cabai Rawit,42699.5593220339
2026-01-10 18:44:55.212108,Cabai Rawit,44527.27118644068
2026-01-11 18:44:55.212106,Cabai Rawit,42616.983050847455
2026-01-12 18:44:55.212104,Cabai Rawit,43179.69491525424
2026-01-13 18:44:55.212103,Cabai Rawit,48742.40677966102
2026-01-14 18:44:55.212101,Cabai Rawit,50147.1186440678
2026-01-15 18:44:55.212100,Cabai Rawit,49532.83050847458
2026-01-16 18:44:55.212098,Cabai Rawit,49351.542372881355
2026-01-17 18:44:55.212097,Cabai Rawit,48919.254237288136
2026-01-18 18:44:55.212096,Cabai Rawit,51477.96610169492
2026-01-19 18:44:55.212094,Cabai Rawit,49129.67796610169
2026-01-20 18:44:55.212093,Cabai Rawit,51917.38983050847
2026-01-21 18:44:55.212091,Cabai Rawit,49995.101694915254
2026-01-22 18:44:55.212090,Cabai Rawit,56097.813559322036
2026-01-23 18:44:55.212088,Cabai Rawit,53577.52542372882
2026-01-24 18:44:55.212086,Cabai Rawit,53753.23728813559
2026-01-25 18:44:55.212085,Cabai Rawit,56824.94915254237
2026-01-26 18:44:55.212083,Cabai Rawit,59094.661016949154
2026-01-27 18:44:55.212082,Cabai Rawit,58098.37288135593
2026-01-28 18:44:55.212080,Cabai Rawit,59264.08474576271
2026-01-29 18:44:55.212079,Cabai Rawit,58845.79661016949
2026-01-30 18:44:55.212077,Cabai Rawit,59349.50847457627
2026-01-31 18:44:55.212075,Cabai Rawit,61752.220338983054
2026-02-01 18:44:55.212074,Cabai Rawit,63749.932203389835
2026-02-02 18:44:55.212073,Cabai Rawit,59461.64406779661
2026-02-03 18:44:55.212071,Cabai Rawit,60226.35593220339
2026-02-04 18:44:55.212070,Cabai Rawit,61582.067796610165
2026-02-05 18:44:55.212068,Cabai Rawit,62075.779661016946
2026-02-06 18:44:55.212067,Cabai Rawit,62280.49152542373
2026-02-07 18:44:55.212065,Cabai Rawit,67078.20338983051
2026-02-08 18:44:55.212063,Cabai Rawit,65308.91525423729
2026-02-09 18:44:55.212062,Cabai Rawit,66779.62711864407
2026-02-10 18:44:55.212060,Cabai Rawit,67565.33898305085
2026-02-11 18:44:55.212059,Cabai Rawit,67194.05084745763
2026-02-12 18:44:55.212057,Cabai Rawit,69469.7627118644
2026-02-13 18:44:55.212056,Cabai Rawit,67539.47457627118
2026-02-14 18:44:55.212055,Cabai Rawit,69783.18644067796
2026-02-15 18:44:55.212053,Cabai Rawit,70180.89830508475
2026-02-16 18:44:55.212051,Cabai Rawit,72304.61016949153
2026-02-17 18:44:55.212050,Cabai Rawit,75647.32203389831
2026-02-18 18:44:55.212049,Cabai Rawit,72039.03389830509
